City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
222,morant bay,20,JM,1556427600,69,17.88,-76.41,80.6,5.82
223,meulaboh,91,ID,1556429388,69,4.14,96.13,85.9,10.78
224,coihaique,75,CL,1556427600,93,-45.58,-72.07,46.4,3.36
225,namibe,2,AO,1556429389,74,-15.19,12.15,72.04,10.25
226,los pozos,87,VE,1556429389,73,8.45,-62.73,77.8,10.74
227,balma,0,FR,1556429225,81,43.61,1.51,48.99,10.29
228,imeni poliny osipenko,89,RU,1556429390,25,52.42,136.49,65.56,2.66
229,san rafael del sur,71,NI,1556427600,51,11.85,-86.44,84.2,6.93
230,abong mbang,64,CM,1556429390,89,3.98,13.18,72.58,2.3
231,narsaq,1,GL,1556429390,71,60.91,-46.05,33.52,2.17
232,rocha,39,UY,1556429215,95,-34.48,-54.34,58.9,8.08
233,saldanha,0,PT,1556429391,90,41.42,-6.55,47.38,4.63
234,carnarvon,0,ZA,1556429391,31,-30.97,22.13,60.7,8.61
235,shache,90,CN,1556429391,39,38.42,77.24,64.12,13.29
236,naryan-mar,3,RU,1556429391,89,67.67,53.09,18.76,5.57
237,hervey bay,24,AU,1556427600,51,-25.3,152.85,80.6,12.75
238,karwar,100,IN,1556429392,66,14.8,74.13,90.58,8.86
239,yungay,100,PE,1556429392,79,-9.14,-77.74,54.04,2.28
240,sibut,84,CF,1556429392,64,5.73,19.09,81.58,6.38
241,oktyabrskoye,40,RU,1556429122,55,56.73,85.44,36.0,17.9
242,borovoy,14,RU,1556429393,65,63.23,52.89,27.04,8.61
243,bilma,26,NE,1556429393,9,18.69,12.92,79.6,9.64
244,bogorodskoye,98,RU,1556429393,27,52.37,140.44,56.2,8.08
245,redcliffe,60,GB,1556429356,75,51.45,-2.59,46.99,14.99
246,atikokan,1,CA,1556429394,59,48.76,-91.62,28.66,4.07
247,leningradskiy,91,RU,1556429394,79,69.38,178.42,34.6,8.77
248,porbandar,18,IN,1556427600,28,21.64,69.61,96.8,17.22
249,angoche,99,MZ,1556429394,91,-16.23,39.91,77.26,3.58
250,gat,0,SN,1556425800,77,14.69,-16.54,69.8,19.46
251,naron,20,ES,1556429078,100,43.52,-8.15,51.01,3.36
252,yar-sale,99,RU,1556429395,85,66.83,70.83,15.88,11.39
253,waycross,1,US,1556429267,76,31.21,-82.35,60.01,4.79
254,palu,97,ID,1556429396,83,-0.9,119.87,81.94,2.28
255,provideniya,100,RU,1556429396,92,64.42,-173.23,28.12,5.46
256,hofn,92,IS,1556429396,99,64.25,-15.21,35.32,4.61
257,asyut,0,EG,1556424000,51,27.18,31.19,62.6,6.78
258,voh,72,NC,1556429397,76,-20.95,164.69,80.14,12.88
259,siocon,95,PH,1556429397,55,11.03,124.04,91.3,6.38
260,qasigiannguit,62,GL,1556427000,86,68.82,-51.19,28.4,10.29
261,vila velha,93,BR,1556428692,93,-3.71,-38.6,75.0,4.27
262,biaora,0,IN,1556429398,9,23.92,76.91,105.7,3.71
263,kartuzy,40,PL,1556429360,93,54.33,18.2,51.01,13.87
264,luganville,75,VU,1556427600,74,-15.51,167.18,84.2,8.05
265,pevek,8,RU,1556429398,89,69.7,170.27,32.62,8.12
